Key,Predicted_Enrollment
6188,1.3466538502460563
273,1.3726911273384068
942,1.786594750677145
5067,1.488050681347094
770,2.1895036256364087
5412,1.39472158044073
3630,1.6972283608344307
1639,2.1193445291526594
4135,1.2688386828891327
5410,1.39472158044073
996,4.102238958472976
6137,1.39472158044073
5390,1.39472158044073
6041,1.39472158044073
5647,1.39472158044073
346,1.626424692760083
781,2.7324032010180246
3924,1.5924642795213588
712,3.001406307510208
6204,1.1517525566450588
5284,2.8463480604096203
1325,2.4613746269117494
2060,2.4613746269117494
5030,1.1418558037338282
2629,1.9405903112455933
4878,1.713062617511956
387,1.8709877153450705
3034,1.9333866631182992
3977,1.9561788874683201
2931,2.166143816473767
264,1.4238898924502286
802,1.9209203667870745
5659,1.39472158044073
4392,1.1918202305735202
4477,1.718102759031543
5931,1.39472158044073
4940,1.5371247039818237
2365,1.7885967794197515
339,1.999507061947956
3794,2.42193621713762
3387,2.6993343291643863
3910,1.7020864627787353
1935,2.126011195819326
2717,1.7942586249598242
1878,2.126011195819326
3469,1.690831848894707
224,1.4828954483350756
5119,1.1829297682995976
4707,1.4674355143021145
5486,1.39472158044073
2886,1.8248101812525883
4461,1.1753416062704856
748,3.3413594859547198
1343,2.4613746269117494
3651,1.6673752973064222
3733,2.288536187162982
1122,2.4613746269117494
5758,1.39472158044073
1485,2.1193445291526594
280,1.4320988907163927
2483,1.341982886285102
2394,2.172867917809668
5090,1.8139504473368726
2791,1.6873896422277361
5716,1.39472158044073
30,1.6171091515474822
3435,2.417403613745245
3883,1.6218545738146448
4346,1.301292184346857
4159,1.5873825910406043
5213,1.3778595292990063
376,1.4231617448137284
4742,2.4118559849547623
1414,2.1193445291526594
2939,2.433333419645986
1376,2.4613746269117494
1622,2.1193445291526594
1988,2.4613746269117494
2163,2.4613746269117494
6093,1.39472158044073
3293,3.1196351475163753
914,3.77678730548615
5350,1.39472158044073
1188,2.4613746269117494
4754,1.8347617111787877
2767,1.7778227758497855
2752,1.761797382182462
4208,1.396294413179442
2046,2.4613746269117494
4904,1.7493149247774653
406,1.7731142172781202
3473,2.5962888317646184
6184,1.7481140380437745
2077,2.4613746269117494
967,2.221837395222291
3410,3.499072261429124
5155,1.8420045513833554
5742,1.39472158044073
2114,2.4613746269117494
2533,1.294273433983005
4504,1.3748480911335532
4037,2.0212252558844654
3911,2.1764690898112873
4548,1.488000781625782
3982,3.7489320806538937
2007,2.4613746269117494
577,2.4546049992580414
2893,2.043786939856102
3784,1.6491091464926586
4049,3.2156890689719626
2178,2.4613746269117494
4092,1.3789402996776072
3050,2.371429916751172
1275,2.4613746269117494
5912,1.39472158044073
631,3.1858136561537354
4993,1.5129682231674926
1837,2.126011195819326
5884,1.39472158044073
5168,1.91576876759201
5776,1.39472158044073
860,2.6933178272217253
393,1.606256613293204
3100,2.037380501735865
3781,1.3983090490855752
5286,1.3301921184474932
4233,1.3017705480142339
1682,2.126011195819326
5997,1.39472158044073
2888,3.5353884629496664
1198,2.4613746269117494
5902,1.39472158044073
5519,1.39472158044073
2220,2.4613746269117494
3728,1.69250759909264
416,1.7488908843223028
5650,1.39472158044073
1363,2.4613746269117494
2367,1.4091932439105705
3662,1.8200650725925065
1678,2.126011195819326
76,1.419507062417988
1554,2.1193445291526594
5760,1.39472158044073
2430,2.190185613925684
5447,1.39472158044073
479,1.6330482134884527
2304,2.4613746269117494
4574,2.3866268192051017
3013,3.171746143383096
3391,2.2985403032852885
4644,1.6906609873108283
6029,1.39472158044073
5006,1.303118747102571
675,2.0980268216947433
5280,1.2413996202255393
5627,1.39472158044073
877,1.839310678680572
2594,1.3604593173118154
565,1.8725298746714896
5730,1.39472158044073
948,3.8483075121559565
6187,1.3416773530245354
4753,1.789394202517051
648,3.7270890514753647
4449,1.50060663079905
2852,1.4497226644834027
